city;latitudex1000;longitudex1000;admin;city_or_minor;population
Abana;41979;34011;Kastamonu;minor;0
Acıgöl;38550;34509;Nevşehir;minor;0
Acıpayam;37424;29349;Denizli;minor;0
Acıpınar;38527;33852;Aksaray;minor;0
Adaklı;39226;40483;Bingöl;minor;0
Adala;38578;28268;Manisa;minor;0
Adalar;40868;29133;İstanbul;minor;0
Adana;37002;35329;Adana;admin;1293000
Adilcevaz;38799;42732;Bitlis;minor;0
Adıyaman;37764;38276;Adıyaman;admin;223744
Afşin;38248;36914;Kahramanmaraş;minor;0
Afyonkarahisar;38757;30543;Afyonkarahisar;admin;34834
Ağabeyli;37734;37116;Kahramanmaraş;minor;0
Ağaçlı;38517;40904;Diyarbakır;minor;0
Ağaçören;38875;33917;Aksaray;minor;0
Ağın;38938;38712;Elazığ;minor;0
Ağlasun;37649;30534;Burdur;minor;0
Ağlı;41686;33554;Kastamonu;minor;0
Ağrı;39715;43040;Ağrı;admin;87854
Ahırlı;37239;32119;Konya;minor;0
Ahlat;38749;42480;Bitlis;minor;0
Ahmetli;38520;27939;Manisa;minor;0
Ahmetli;38178;39856;Diyarbakır;minor;0
Akarsu;37226;41051;Mardin;minor;0
Akarsu;39929;38614;Erzincan;minor;0
Akçaabat;41021;39571;Trabzon;minor;0
Akçadağ;38339;37970;Malatya;minor;0
Akçakale;36711;38948;Şanlıurfa;minor;0
Akçakent;39623;34096;Kırşehir;minor;0
Akcakışla;39538;36336;Sivas;minor;0
Akçakoca;41087;31116;Düzce;minor;0
Akçaova;41037;29902;Kocaeli;minor;0
Akçaova;37503;28027;Aydın;minor;0
Akçapınar;38947;38942;Tunceli;minor;0
Akçasır;38447;41265;Diyarbakır;minor;0
Akçay;36602;29746;Antalya;minor;0
Akdağ;40712;35976;Amasya;minor;0
Akdağmadeni;39660;35884;Yozgat;minor;0
Akdemir;38983;39139;Tunceli;minor;0
Akhisar;38919;27840;Manisa;minor;0
Akıncı;37166;40847;Mardin;minor;0
Akıncılar;40072;38343;Sivas;minor;0
Akıncılar;37764;38823;Adıyaman;minor;0
Akkaya;41219;33485;Kastamonu;minor;0
Akkışla;39002;36174;Kayseri;minor;0
Akköy;37491;27269;Aydın;minor;0
Akköy;37957;29078;Denizli;minor;0
Akkuş;40793;37016;Ordu;minor;0
Akmeşe;40849;30198;Kocaeli;minor;0
Akören;37453;32371;Konya;minor;0
Akpazar;38846;39668;Tunceli;minor;0
Akpınar;37574;38221;Adıyaman;minor;0
Akpınar;39450;33965;Kırşehir;minor;0
Aksakal;40147;28107;Balıkesir;minor;0
Akşar;38100;42533;Bitlis;minor;0
Akşar;40647;42339;Erzurum;minor;0
Aksaray;38373;34025;Aksaray;admin;32250
Akşehir;38358;31416;Konya;minor;0
Akseki;37049;31790;Antalya;minor;0
Aksu;36954;30848;Antalya;minor;0
Aksu;37799;31071;Isparta;minor;0
Aktepe;36702;36485;Hatay;minor;0
Aktuzla;39330;42285;Muş;minor;0
Akyaka;40741;43614;Kars;minor;0
Akyazı;40685;30622;Sakarya;minor;0
Akyurt;40131;33091;Ankara;minor;0
Akziyaret;37353;38796;Şanlıurfa;minor;0
Alaca;40168;34843;Çorum;minor;0
Alacahan;39107;37576;Sivas;minor;0
Alacakaya;38458;39860;Diyarbakır;minor;0
Alaçam;41606;35598;Samsun;minor;0
Alaçatı;38282;26375;İzmir;minor;0
Aladağ;37548;35396;Adana;minor;0
Alanya;36544;32000;Antalya;minor;0
Alaplı;41181;31385;Zonguldak;minor;0
Alaşehir;38351;28517;Manisa;minor;0
Albayrak;38143;44201;Van;minor;0
Aliağa;38800;26972;İzmir;minor;0
Alıcık;40803;35323;Amasya;minor;0
Almus;40376;36904;Tokat;minor;0
Alpköy;39614;39186;Erzincan;minor;0
Alpu;39769;30961;Eskişehir;minor;0
Altındağ;39948;32864;Ankara;minor;0
Altınekin;38308;32869;Konya;minor;0
Altınoluk;39579;26737;Balıkesir;minor;0
Altınova;40695;29510;Yalova;minor;0
Altınova;39217;26790;Balıkesir;minor;0
Altınözü;36116;36248;Hatay;minor;0
Altıntaş;39060;30109;Kütahya;minor;0
Altınyaka;36559;30348;Antalya;minor;0
Altınyayla;39272;36751;Sivas;minor;0
Altınyayla;36997;29546;Burdur;minor;0
Altunhisar;37992;34373;Niğde;minor;0
Alucra;40317;38753;Giresun;minor;0
Amasra;41746;32386;Bartın;minor;0
Amasya;40653;35833;Amasya;admin;82896
Anamur;36075;32837;Mersin;minor;0
Andırın;37578;36355;Kahramanmaraş;minor;0
Ankara;39912;32840;Ankara;admin;3716000
Antalya;36908;30696;Antalya;admin;783000
Araban;37427;37689;Gaziantep;minor;0
Araç;41242;33328;Kastamonu;minor;0
Araklı;40934;40045;Trabzon;minor;0
Araklı;40939;40058;Trabzon;minor;0
Aralık;39873;44519;Adıyaman;minor;0
Arapgir;39041;38495;Malatya;minor;0
Aras;39988;42306;Erzurum;minor;0
Ardahan;41109;42702;Ardahan;admin;48183
Ardanuç;41127;42063;Artvin;minor;0
Ardanuç;41117;42058;Artvin;minor;0
Ardeşen;41191;40988;Rize;minor;0
Argıthanı;38293;31715;Konya;minor;0
Arguvan;38774;38263;Malatya;minor;0
Arhavi;41351;41305;Artvin;minor;0
Arifiye;40700;30351;Sakarya;minor;0
Arıcak;38563;40125;Elazığ;minor;0
Arıt;41687;32624;Bartın;minor;0
Armutlu;39576;38427;Erzincan;minor;0
Armutlu;40519;28828;Yalova;minor;0
Arpaçay;40845;43327;Kars;minor;0
Arsin;40953;39927;Trabzon;minor;0
Arslanköy;37019;34287;Mersin;minor;0
Arsuz;36413;35890;Hatay;minor;0
Artova;40116;36300;Tokat;minor;0
Artvin;41182;41822;Artvin;admin;48183
Aşağı Irmaklar;41183;42174;Artvin;minor;0
